symbol,timestamp,trade_count,total_volume,average_trade_size,first_price,last_price,price_change_percent,buy_volume,sell_volume,volume_imbalance,trade_size_std,trade_size_cv,repeated_size_ratio,repeated_price_ratio,trade_rate,buy_sell_alternation,price_volume_divergence,prediction,anomaly_score,anomaly
ETHUSDT,2026-07-02 14:01:00+00:00,24711,2763.9178,0.1118496944680506,1709.69,1718.19,0.4971661529283087,1816.6005,947.3173,0.3145112347407726,0.5600331916399,5.007015837668388,0.929586014325604,0.9985431589170816,411.85,0.0234722784297855,325.1668,-1,-0.027416899047062127,True
SOLUSDT,2026-07-17 16:01:00+00:00,1897,8686.61,4.57913020558777,74.77,74.8,0.0401230440016064,3514.374,5172.236,-0.190852588063698,16.265480721895884,3.5520895872424907,0.7590933052187665,1.0,31.616666666666667,0.0464135021097046,289553.6666666557,-1,-0.027357738477920446,True
SOLUSDT,2026-07-09 21:35:00+00:00,332,4685.157,14.111918674698796,78.06,78.04,-0.0256213169356854,3214.82,1470.337,0.3723424850010363,69.13320542355432,4.898923173891512,0.6897590361445783,0.9969879518072288,5.533333333333333,0.0422960725075528,234257.8500000466,-1,-0.027340095705935097,True
ETHUSDT,2026-07-31 14:10:00+00:00,13557,3148.8347,0.2322663347348233,1856.07,1855.16,-0.049028323285213,810.3151,2338.5196,-0.4853238247152193,1.8870308110044416,8.12442669816463,0.8819060264070222,0.9968282068304196,225.95,0.0295809973443493,3460.257912088465,-1,-0.026970051942507678,True
SOLUSDT,2026-07-27 12:44:00+00:00,1127,8890.535,7.888673469387755,76.77,76.86,0.117233294255573,6304.797,2585.738,0.4183166704815851,33.50955440239017,4.2478059882216,0.7142857142857143,1.0,18.783333333333335,0.0444049733570159,98783.72222221848,-1,-0.026963141165357585,True
SOLUSDT,2026-07-06 18:50:00+00:00,2715,12076.596,4.4481016574585635,81.99,82.12,0.1585559214538476,8922.186,3154.41,0.4775994825031822,21.343167077780997,4.798264230762991,0.7767955801104972,1.0,45.25,0.0445836403831982,92896.8923076854,-1,-0.026928171321909722,True
SOLUSDT,2026-07-27 22:50:00+00:00,2719,8315.26,3.058205222508275,74.63,74.49,-0.1875921211309132,2438.508,5876.752,-0.4134860485420781,17.39393854402718,5.687629599219976,0.8510481794777491,1.0,45.31666666666667,0.0309050772626931,59394.71428571404,-1,-0.026922479813745848,True
SOLUSDT,2026-07-07 14:00:00+00:00,4350,6845.253,1.5736213793103448,80.85,80.84,-0.0123685837971439,3188.593,3656.66,-0.0683783345918697,7.216412533688985,4.585863301407133,0.8873563218390804,1.0,72.5,0.0250632329271096,684525.3000006225,-1,-0.026872363177569913,True
SOLUSDT,2026-07-06 12:02:00+00:00,4305,7506.309,1.7436257839721254,80.38,80.12,-0.3234635481462937,3457.341,4048.968,-0.0788172988881752,8.952367756286897,5.134340085228984,0.8866434378629501,1.0,71.75,0.0227695167286245,28870.41923077024,-1,-0.026787828566255167,True
SOLUSDT,2026-07-02 11:21:00+00:00,3341,9765.945,2.9230604609398383,81.96,82.21,0.3050268423621278,6281.109,3484.836,0.2863289727722202,13.190327860073214,4.512505997167157,0.8410655492367555,1.0,55.68333333333333,0.0296407185628742,39063.78,-1,-0.026770684845678794,True
SOLUSDT,2026-07-04 04:07:00+00:00,2213,11186.217,5.054774966109354,82.83,82.88,0.060364602197268,9842.085,1344.132,0.7596806856151638,29.03977960529973,5.745019273855344,0.7510167193854496,1.0,36.88333333333333,0.0339059674502712,223724.34000001271,-1,-0.0266010905536328,True
SOLUSDT,2026-07-20 18:01:00+00:00,2638,12680.993,4.807048142532222,77.87,78.13,0.3338898163605893,10348.305,2332.688,0.6320969501363182,19.61596241889753,4.080666936812573,0.7354056103108415,1.0,43.96666666666667,0.0405764125900644,48773.050000001705,-1,-0.026592526193402133,True
SOLUSDT,2026-07-12 03:19:00+00:00,518,5768.341,11.135793436293437,76.87,76.92,0.0650448809678641,3682.956,2085.385,0.2769550205162974,56.90836848977557,5.11040087222717,0.7065637065637066,1.0,8.633333333333333,0.04642166344294,115366.82000000656,-1,-0.026564645356632166,True
SOLUSDT,2026-07-06 11:59:00+00:00,2454,8370.047,3.410777098614507,80.58,80.39,-0.2357905187391384,3835.518,4534.5289999999995,-0.0835133900681799,12.554224678362074,3.6807520149768007,0.8158109209453953,0.9995925020374898,40.9,0.0228291887484712,44052.878947368954,-1,-0.02653121988032181,True
SOLUSDT,2026-07-13 13:41:00+00:00,2572,9090.845,3.534543157076205,75.57,75.33,-0.3175863437872104,2779.422,6311.423,-0.388522849086086,14.77165140565464,4.1792250792246195,0.7803265940902022,0.999611197511664,42.86666666666667,0.0451186308829249,37878.520833334136,-1,-0.026490623646568512,True
SOLUSDT,2026-07-16 06:08:00+00:00,1746,8947.203,5.124400343642612,77.4,77.51,0.1421188630490948,5432.008,3515.195,0.2142360020220844,15.983650487987862,3.1191260276565544,0.7199312714776632,1.0,29.1,0.0389684813753581,81338.20909090951,-1,-0.026490468840254855,True
BTCUSDT,2026-07-06 12:02:00.011000+00:00,18385,119.43691,0.0064964324177318,62210.09,62100.01,-0.1769487875680528,46.6267,72.81021,-0.2192246098798101,0.1032898989133051,15.899480248786704,0.6566766385640468,0.0198531411476747,306.4166666666667,0.0304612706701479,674.9762836198148,-1,-0.02648771105994896,True
SOLUSDT,2026-07-21 15:02:00+00:00,1464,8376.512,5.721661202185793,77.91,77.84,-0.0898472596585716,1857.434,6519.0779999999995,-0.5565137374601742,39.60007670045766,6.921080312362713,0.7834699453551912,1.0,24.4,0.0430622009569378,119664.4571428688,-1,-0.02644624504164994,True
SOLUSDT,2026-07-28 12:54:00+00:00,343,6183.434,18.027504373177845,73.34,73.39,0.0681756203981417,5114.497,1068.937,0.6542578120830594,53.000243367138026,2.939965636396918,0.6705539358600583,1.0,5.716666666666667,0.0555555555555555,123668.68000000704,-1,-0.026441386599674654,True
ETHUSDT,2026-07-27 14:20:00+00:00,13000,1422.3292,0.1094099384615384,1956.69,1948.88,-0.3991434514409511,403.2842,1019.045,-0.4329242484791847,0.8279416719816102,7.567335139966846,0.9386153846153846,0.998,216.66666666666663,0.0136164320332333,182.11641485275413,-1,-0.026403205477068203,True
SOLUSDT,2026-07-01 02:48:00+00:00,1397,9556.777,6.840928418038654,74.73,74.77,0.053526027030633,7097.007,2459.77,0.4852302193511473,31.107383687735915,4.547245898043563,0.7415891195418755,1.0,23.283333333333335,0.0436962750716332,238919.42500004751,-1,-0.026380611828163758,True
