symbol,timestamp,anomaly_score,volume_score,price_score,timing_score,final_score,risk_level
SOLUSDT,2026-07-02 11:49:00+00:00,-0.1147374905128559,30,40,35,34.5,LOW
SOLUSDT,2026-07-16 07:40:00+00:00,-0.1169978132913256,30,40,35,34.5,LOW
SOLUSDT,2026-07-02 09:09:00+00:00,-0.1218156684271377,30,40,35,34.5,LOW
SOLUSDT,2026-07-04 03:14:00+00:00,-0.1184735554489362,30,40,35,34.5,LOW
SOLUSDT,2026-07-10 03:29:00+00:00,-0.1253351297583036,30,40,35,34.5,LOW
SOLUSDT,2026-07-05 01:04:00+00:00,-0.1268783360057969,30,40,35,34.5,LOW
SOLUSDT,2026-07-08 07:06:00+00:00,-0.1304142114547891,30,40,35,34.5,LOW
SOLUSDT,2026-07-01 07:30:00+00:00,-0.1349515471333374,30,40,35,34.5,LOW
SOLUSDT,2026-07-01 11:49:00+00:00,-0.1375265657454032,30,40,35,34.5,LOW
SOLUSDT,2026-07-11 16:34:00+00:00,-0.1407518719747905,30,40,35,34.5,LOW
SOLUSDT,2026-07-11 16:24:00+00:00,-0.141635553902849,30,40,35,34.5,LOW
SOLUSDT,2026-07-07 08:45:00+00:00,-0.1029940122670088,30,40,35,34.5,LOW
